model,scenario,region,variable,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,1.75DS,World,"Capacity Additions|Electricity|Coal, w/o CCS",GW,,133.20000000000002,100.40000000000005,98.59999999999998,88.40000000000003,108.49999999999997,91.49999999999999,39.50000000000004,39.600000000000016,39.400000000000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.83889744427606,,,,,
GLUCOSE,1.75DS,World,"Capacity|Electricity|Coal, w/o CCS",GW,1580.8000000000004,1676.9000000000003,1737.9,1796.9,1845.8000000000004,1914.8000000000002,1966.8000000000004,1966.8000000000004,1966.8000000000004,1966.8000000000004,1927.2000000000003,1887.7,1848.1000000000004,1808.7000000000003,1769.1000000000001,1729.6000000000004,1690.0000000000002,1650.6000000000001,1611.0000000000002,1571.5,1531.9000000000003,1492.5,1453.0,1413.4,1373.9,1334.4,1294.9,1255.3000000000002,1215.9,1176.3,1136.8000000000002,1097.2,1057.8000000000002,1018.2000000000002,978.7000000000002,939.1000000000001,899.7000000000002,860.1000000000001,820.6000000000003,781.0000000000002,741.6000000000001,608.4000000000001,508.00000000000006,409.40000000000015,321.00000000000006,227.3388974442761,135.83889744427614,96.33889744427613,56.73889744427609,17.33889744427606,17.33889744427606
GLUCOSE,1.75DS,World,Capacity|Electricity|Non-biomass Renewables,GW,1217.8000000000002,1228.5,1239.2000000000003,1218.4,1197.5,1176.7000000000003,1155.8000000000002,1134.9,1114.1000000000001,1093.2,1072.5000000000002,1051.6000000000001,1030.6000000000001,1089.8000000000002,1148.8999999999999,1208.1000000000001,1267.3000000000002,1326.3999999999999,1460.3915151783046,1669.3915151783044,1878.491515178304,2136.091515178305,2348.6915151783046,2614.759619968918,2864.3,3213.135974627481,3476.4270491303446,4041.4210451648864,4640.020077220716,5140.700000000001,5492.300000000001,5880.9000000000015,6311.8,6791.000000000001,7326.100000000001,7924.9000000000015,8391.031630718617,9124.447139467055,9957.636618300161,10335.314394407555,10394.098723352165,10402.301908948186,10402.301908948186,10402.301908948186,10402.301908948186,10402.301908948186,10402.301908948186,10402.301908948186,10402.301908948186,10402.301908948186,10156.8659343207
GLUCOSE,1.75DS,World,Capacity|Electricity|Solar|CSP,GW,0.6,0.6,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.3,0.3,0.3,0.3,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,53.368104790612726,115.10000000000001,126.60000000000001,139.20000000000002,153.20000000000002,168.50000000000003,185.3,203.80000000000004,224.20000000000005,246.70000000000002,271.3,298.40000000000003,328.3,361.1,397.20000000000005,437.0000000000001,480.70000000000016,525.1843289446097,528.7,528.7,528.7,528.7,528.7,528.7,528.7,528.7,528.7,528.7
GLUCOSE,1.75DS,World,Capacity|Electricity|Solar|PV,GW,40.00000000000001,70.00000000000001,100.00000000000001,98.4,96.80000000000001,95.20000000000002,93.60000000000001,92.00000000000001,90.4,88.8,87.2,85.60000000000002,84.0,82.4,80.80000000000003,79.2,77.60000000000001,76.0,74.4,72.80000000000001,71.2,69.60000000000001,68.00000000000001,66.4,64.8,245.43597462748113,336.1270491303441,727.021045164886,1170.2200772207157,1554.1000000000001,1787.2,2055.3,2363.6000000000004,2718.1000000000004,3125.9000000000005,3594.7000000000003,3933.8316307186155,4536.947139467053,5316.036618300161,5635.814394407554,5635.814394407554,5640.501908948184,5640.501908948184,5640.501908948184,5640.501908948184,5640.501908948184,5640.501908948184,5640.501908948184,5640.501908948184,5640.501908948184,5395.065934320702
GLUCOSE,1.75DS,World,Capacity|Electricity|Wind,GW,159.20000000000002,152.8,146.4,140.10000000000002,133.70000000000002,127.30000000000001,121.00000000000001,114.60000000000001,108.30000000000001,101.80000000000001,95.50000000000001,89.20000000000002,82.7,156.4,230.00000000000003,303.70000000000005,377.30000000000007,450.9000000000001,524.6,598.2000000000002,671.8000000000001,745.5,819.1000000000001,892.8000000000001,966.3,1100.0000000000002,1240.0000000000005,1380.0,1500.0000000000002,1580.0000000000002,1660.0,1740.0000000000005,1820.0000000000007,1900.0000000000007,1980.0000000000007,2060.000000000001,2140.0000000000005,2220.0000000000005,2220.0000000000005,2220.0000000000005,2220.0000000000005,2220.0000000000005,2220.0000000000005,2220.0000000000005,2220.0000000000005,2220.0000000000005,2220.0000000000005,2220.0000000000005,2220.0000000000005,2220.0000000000005,2220.0000000000005
GLUCOSE,1.75DS,World,Capacity|Electricity|Wind|Offshore,GW,1.0000000000000002,1.0000000000000002,0.9,0.9,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.7000000000000001,0.7000000000000001,0.6,0.6,0.6,0.5000000000000001,0.5000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.3,0.3,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,,60.00000000000001,120.00000000000001,180.0,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
GLUCOSE,1.75DS,World,Capacity|Electricity|Wind|Onshore,GW,158.20000000000002,151.8,145.5,139.20000000000002,132.9,126.50000000000001,120.20000000000002,113.90000000000002,107.60000000000001,101.2,94.9,88.60000000000001,82.2,155.9,229.60000000000002,303.30000000000007,376.90000000000003,450.6000000000001,524.3000000000001,598.0000000000001,671.6,745.3000000000001,819.0000000000001,892.7,966.3,1040.0,1120.0000000000002,1200.0,1280.0000000000002,1360.0000000000002,1440.0000000000002,1520.0000000000005,1600.0000000000005,1680.0000000000007,1760.0000000000007,1840.0000000000005,1920.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002
GLUCOSE,1.75DS,World,Carbon Sequestration|CCS,Mt CO2e/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.13267656536817,-81.9712325144571,-81.9712325144571,-81.9712325144571,-116.79164606748544,-267.8342811724043,-307.6785931653861,-309.78573890424633,-311.48995374856736,-312.84996166068834,-312.8499616606855,-265.065341469826,-262.02756167894506,-448.28861869206924,-702.3600395919956,-679.3436898425211,-929.9155446494382
GLUCOSE,1.75DS,World,Carbon Sequestration|CCS|Biomass,Mt CO2e/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.13267656536817,-81.9712325144571,-81.9712325144571,-81.9712325144571,-116.79164606748544,-267.8342811724043,-307.6785931653861,-309.78573890424633,-311.48995374856736,-312.84996166068834,-312.8499616606855,-265.065341469826,-262.02756167894506,-448.28861869206924,-702.3600395919956,-679.3436898425211,-929.9155446494382
GLUCOSE,1.75DS,World,Carbon Sequestration|Direct Air Capture,Mt CO2e/yr,-663.0368700000001,-663.03687,-663.0368700000001,-663.0368700000001,-663.03687,-663.03687,-663.03687,-663.03687,-663.0368700000001,-663.0368699999999,-663.03687,-663.03687,-663.0368700000001,-663.0368700000001,-663.03687,-663.03687,-663.0368700000002,-663.03687,-663.0368700000001,-663.0368700000001,-663.03687,-663.0368700000001,-663.0368700000002,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.0368700000001,-663.03687,-663.0368700000001,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.0368700000001,-663.0368700000001,-663.03687,-663.03687,-663.03687,-663.03687,-663.0368699999998,-663.0368699999999,-663.03687,-663.03687,-663.03687,-663.0368699999999
GLUCOSE,1.75DS,World,Electricity Use|Final,EJ/yr,47.9524209535635,49.83888402288755,51.66016665809172,53.41752972741576,55.111112362619934,56.743080978439856,59.72916660631296,61.695774154966486,63.63594180256422,65.53823263677548,67.44542519761215,67.63720271183502,67.82766637997402,68.02421317432223,68.2199359651416,68.4150311630185,68.6847315452404,68.95718704858666,69.21654689846865,69.46726497127246,69.71163708170053,70.96248532524442,72.21124037282844,73.45577776735175,74.69760908381045,75.92992217335316,76.91345183365587,77.89874073252166,78.88569050124168,79.8718275270537,80.86103536688975,82.85503464580098,84.82673631116624,86.820801529639,88.81385322443796,90.81061748048822,92.79341763856311,94.78050303559156,96.74819142083072,98.7123187459004,100.67905891657983,100.61915829617044,100.58034805072771,100.57390245649323,100.57507600579945,100.56975395759198,100.24864607022364,100.57390245649323,100.602838585255,100.59619782138027,100.6085141322126
GLUCOSE,1.75DS,World,Electricity Use|Industry,EJ/yr,8953.051193826312,9035.904606432396,9118.736240219534,9201.546701224837,9284.33715034462,9367.108142687808,9449.86368886554,9532.598490837432,9615.320662229718,9698.023976835448,9780.716373945246,9721.475852435971,9662.210127088889,9602.920039164432,9543.606417427378,9484.270408583643,9424.914008958127,9365.534426540391,9306.134992401883,9246.713581370748,9187.27696978533,9127.821634428416,9068.345006649526,9008.852988301514,8949.343811338978,8889.818821322933,8830.279757245971,8770.721697194129,8711.152558559581,8651.565373635194,8591.9679401248,8532.35541615279,8472.729184748312,8413.090809372383,8353.439399335619,8293.776627038651,8234.103549136342,8174.41556218687,8114.720021201337,8055.010172884336,7995.293327517133,7995.295639437374,7995.295639437374,7995.295639437374,7995.295639437374,7995.295639437374,7995.295639437374,7995.295639437374,7995.295639437374,7995.295639437374,7995.295639437374
GLUCOSE,1.75DS,World,Electricity Use|Land,EJ/yr,1848.7430903958866,1871.9563327455428,1895.7647864375,1918.9780287871577,1942.7864824791131,1969.8099580766614,1999.2417010158053,2028.331440422716,2057.7631833618593,2086.8529227687704,2116.879877050213,2066.827606174006,2017.6354787413745,1971.202664158253,1924.5534774147736,1879.5900441898887,1835.883641563028,1792.8617712651053,1750.68680034734,1708.7578123188973,1668.725828037338,1628.0889520252435,1588.4937779598572,1549.5011912654863,1510.7418974795353,1471.8248774188792,1433.6403755895853,1395.7436764244715,1357.8489953214387,1319.552363248246,1282.2248775584587,1243.8346427092854,1205.7435212090434,1167.00858081883,1143.4347773067416,1128.182726417962,1113.662580353852,1099.5632689197141,1085.8119167628372,1072.1214391618282,1059.0878984331073,1059.0878984331073,1059.0878984331073,1059.0878984331073,1059.0878984331073,1059.0878984331073,1059.0878984331073,1059.0878984331073,1059.0878984331073,1059.0878984331073,1059.0878984331073
GLUCOSE,1.75DS,World,Electricity Use|Transport,EJ/yr,0.4980986999999999,0.5048676900000001,0.5131615999999999,0.5196588400000001,0.5260256400000001,0.53388475,0.6318569600000001,0.64200501,0.6503672599999999,0.75331179,0.7638108000000001,0.7810632000000001,0.7983156,0.8139996000000002,1.0398491999999997,1.0602383999999998,1.0837643999999995,1.1088588,1.1339532000000003,1.1590476,2.360442,2.4137676000000003,2.4670932000000003,2.5204188000000007,3.845397162297285,3.929694467507461,4.841330006012421,5.925112283063827,6.914070501567926,7.923975432518574,9.068587086665593,10.2228540312344,11.266703966515493,12.296887344503155,13.343994022602056,14.397689972773168,17.167938107238406,18.18115726629999,18.459204467313413,18.590899360655502,19.57558250129034,19.575582501290352,19.575582501290334,19.57558250129034,19.575582501290334,19.575582501290334,19.575582501290334,19.575582501290334,19.575582501290334,19.575582501290334,19.575582501290334
