Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,Baseline,World,"Capacity|Electricity|Coal, w/o CCS",TW,1.5808000000000002,1.5437,1.5043,1.4647,1.4252,1.3857000000000002,1.3461999999999998,1.3067,1.2671000000000001,1.2277,1.1881000000000002,1.1485999999999998,1.109,1.0695999999999999,1.0476395836021652,1.1081395836021648,1.168539583602165,1.2291395836021652,1.2895395836021653,1.350039583602165,1.410439583602165,1.471039583602165,1.5315395836021652,1.5919395836021653,1.652439583602165,1.7129395836021652,1.7734395836021655,1.8338395836021655,1.8944395836021655,1.954839583602165,2.015339583602165,2.0757395836021653,2.079199925226981,2.0803581402602176,2.0576002067534143,2.0799569566482226,2.095182577916014,2.1027975130172702,2.1201405735248717,2.1212688909435298,2.1288746295110146,2.1303943770222906,2.136259160504926,2.142453797090521,2.142453797090521,2.142453797090521,2.142453797090521,2.142453797090521,2.142453797090521,2.142453797090521,2.142453797090521
GLUCOSE,Baseline,World,Capacity|Electricity|Solar|CSP,TW,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.035970946709192604,0.1058709467091926,0.17587094670919262,0.23000000000000004,0.26080000000000003,0.2917000000000001,0.3225000000000001,0.35340000000000005,0.3842,0.4223000000000001,0.4604,0.4984000000000001,0.5365000000000001,0.5746,0.6315,0.6884000000000001,0.7452000000000001,0.8021,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001
GLUCOSE,Baseline,World,Capacity|Electricity|Solar|PV,TW,0.04,0.07,0.1,0.0984,0.0968,0.0952,0.0936,0.092,0.09040000000000001,0.08879999999999999,0.0872,0.08560000000000001,0.08399999999999999,0.0824,0.08080000000000001,0.07919999999999999,0.0776,0.076,0.0744,0.0728,0.0712,0.14149999999999988,0.21989999999999987,0.2982999999999999,0.37669999999999987,0.40070363270961434,0.4807036327096143,0.5607036327096143,0.6159036327096143,0.6634036327096144,0.7434036327096144,0.8169036327096145,0.8969036327096145,0.9769036327096143,1.2069036327096145,1.4022261682083075,1.5758172629489064,1.7268042904475687,1.8089344640451195,1.8889344640451196,1.9689344640451196,1.9689344640451196,1.9765758044649604,2.0493259399979076,2.113153423228933,2.1552508230780245,2.1633508230780243,2.1633508230780243,2.1633508230780243,2.1633508230780243,2.30454719036841
GLUCOSE,Baseline,World,Capacity|Electricity|Wind,TW,0.1592,0.1528,0.1464,0.1401,0.13369999999999999,0.1273,0.121,0.11460000000000001,0.10830000000000001,0.1818,0.2555,0.3292,0.4027,0.4764,0.55,0.6237,0.6972999999999999,0.7944459213937283,0.9281459213937282,1.0617459213937284,1.195345921393728,1.3290459213937282,1.4626459213937282,1.596345921393728,1.7298459213937283,1.8635459213937284,2.0035459213937283,2.143545921393729,2.2835459213937286,2.423545921393729,2.563545921393729,2.703545921393729,2.843545921393728,2.9835459213937283,3.0435459213937284,3.1035459213937284,3.1635459213937285,3.223545921393728,3.2835459213937286,3.3435459213937286,3.4035459213937282,3.4035459213937282,3.3800000000000003,3.3200000000000003,3.2759410064848966,3.2471033977712356,3.2402976482777754,3.2402976482777754,3.2402976482777754,3.2402976482777754,3.2402976482777754
GLUCOSE,Baseline,World,Capacity|Electricity|Wind|Offshore,TW,0.001,0.001,0.0009,0.0009,0.0008,0.0008,0.0008,0.0007,0.0007,0.0006,0.0006,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.023845921393728292,0.08384592139372828,0.1437459213937283,0.2037459213937283,0.2637459213937283,0.3236459213937283,0.3836459213937283,0.4435459213937283,0.5035459213937283,0.5635459213937284,0.6235459213937284,0.6835459213937285,0.7435459213937285,0.8035459213937286,0.8635459213937287,0.9235459213937284,0.9835459213937284,1.0435459213937284,1.1035459213937284,1.1635459213937285,1.2235459213937283,1.2835459213937286,1.3435459213937286,1.4035459213937282,1.4035459213937282,1.3800000000000003,1.3200000000000005,1.2759410064848966,1.2471033977712358,1.2402976482777754,1.2402976482777754,1.2402976482777754,1.2402976482777754,1.2402976482777754
GLUCOSE,Baseline,World,Capacity|Electricity|Wind|Onshore,TW,0.1582,0.1518,0.1455,0.1392,0.1329,0.1265,0.1202,0.1139,0.1076,0.1812,0.2549,0.3286,0.4022,0.4759,0.5496000000000001,0.6233000000000001,0.6969,0.7706,0.8442999999999999,0.918,0.9915999999999998,1.0653,1.1389999999999998,1.2127,1.2863,1.36,1.4400000000000002,1.5200000000000002,1.6000000000000003,1.6800000000000004,1.7600000000000005,1.8400000000000003,1.92,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GLUCOSE,Baseline,World,Carbon Sequestration|Direct Air Capture,Gt CO2e/yr,-0.6630368700000001,-0.66303687,-0.6630368700000001,-0.6630368699999999,-0.66303687,-0.66303687,-0.66303687,-0.6630368700000001,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.6630368699999999,-0.66303687,-0.6630368700000001,-0.6630368700000001,-0.66303687,-0.6630368700000001,-0.6630368699999999,-0.66303687,-0.66303687,-0.6630368700000001,-0.6630368699999999,-0.66303687,-0.6630368700000002,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.6630368700000001,-0.66303687,-0.66303687,-0.6630368700000001,-0.66303687,-0.6630368699999999,-0.66303687
GLUCOSE,Baseline,World,Emissions|CO2|AFOLU,Gt CO2e/yr,4.901192511670757,4.924395244357726,4.947716965417449,4.970322139989567,4.991392726688513,5.039571921872204,5.099604000923971,5.159795303552807,5.220092755233021,5.280549430490307,5.341112254798976,5.37755083336383,5.413722267245024,5.449719348259755,5.485421902246225,5.520921351945077,5.555392519797207,5.589628884836436,5.623507250490804,5.657115865781433,5.690329786699266,5.711755106270929,5.732041709492344,5.752574970471717,5.771977986662053,5.790877261733863,5.809247608606524,5.827062580857005,5.8435908439482915,5.860263446882541,5.875589568465504,5.882661941704444,5.889025500636984,5.894697879175179,5.89958878964059,5.903659158891056,5.90686795966246,5.9092251886376035,5.909875897938556,5.910285874595864,5.909648609519852,5.886556931028828,5.862310668613253,5.836852092873524,5.810120588550184,5.782052508967096,5.772682217417393,5.772682217417393,5.772682217417394,5.772682217417394,5.772682217417394
GLUCOSE,Baseline,World,Emissions|CO2|Energy and Industrial Processes,Gt CO2e/yr,30.866670236275453,31.102305336427044,31.33793985882393,31.573492825904793,31.70929075487393,31.846187097557173,31.855912922919206,31.776384326119103,31.696756343908312,31.61706246590416,31.71062670932966,31.99168767834357,32.00434928402944,32.28591116813003,32.657966187934505,33.33423064438741,33.85784107901137,34.19111015107906,34.53696108270751,35.51077398522436,36.21426714794569,36.70378519372907,36.95732892327342,37.263052690657425,37.56289821333793,37.850444238266135,38.13851919139348,38.427149519142986,38.71706655605169,39.00683925311744,39.29795843153449,39.523768078295554,39.75028653936303,39.974367023792766,40.20548729035943,40.43429894110894,40.66397216033753,40.89449695136239,41.126728262061455,41.35920030540413,41.592719590480144,41.71126647251803,41.80294433330878,41.81861855401031,41.80298630557946,41.78019823794188,41.773939046724585,41.77393904672458,41.773960989843026,41.77396098984302,38.69567184836149
GLUCOSE,Baseline,World,Emissions|CO2|Energy|Supply,Gt CO2e/yr,29.762546342519144,29.98840379376324,30.214260960409963,30.44003768673209,30.567157241895828,30.694281626544047,30.6942356819657,30.604936319550326,30.515537670409962,30.426074134431772,30.509868781629017,30.782278752869004,30.785174524845296,31.0569714621612,31.419261533549797,32.085761902940995,32.599608248132256,32.9242472325286,33.26033784581175,34.224390796557216,34.918123865674126,35.39788213991502,35.64166690336713,35.93763198759396,36.22886973781444,36.50666009543117,36.784979131337046,37.06385427635798,37.34401588082677,37.624033866606574,37.90539806656233,38.122620709652985,38.33938686933147,38.55371568202564,38.775084002848786,38.99414432703351,39.21406594949856,39.43602010416632,39.65850219082162,39.881225637331106,40.10499594713349,40.223542829171365,40.315220689962125,40.33089491066365,40.315262662232804,40.29247459459523,40.28621540337793,40.28621540337792,40.28623734649637,40.286237346496364,37.20794820501484
