model,scenario,region,variable,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,Baseline,World,"Capacity|Electricity|Coal, w/o CCS",GW,1580.8000000000004,1543.7000000000003,1504.3000000000002,1464.7,1425.2000000000003,1385.7000000000003,1346.2,1306.7,1267.1000000000001,1227.7,1188.1000000000004,1148.6,1109.0,1069.6000000000001,1047.6395836021654,1108.139583602165,1168.539583602165,1229.1395836021654,1289.5395836021653,1350.0395836021653,1410.4395836021652,1471.0395836021653,1531.5395836021655,1591.9395836021654,1652.4395836021652,1712.9395836021654,1773.4395836021658,1833.8395836021655,1894.4395836021654,1954.8395836021652,2015.339583602165,2075.7395836021656,2079.199925226981,2080.3581402602176,2057.6002067534146,2079.956956648223,2095.1825779160145,2102.7975130172704,2120.1405735248723,2121.26889094353,2128.874629511015,2130.394377022291,2136.2591605049265,2142.453797090521,2142.453797090521,2142.453797090521,2142.453797090521,2142.453797090521,2142.453797090521,2142.453797090521,2142.453797090521
GLUCOSE,Baseline,World,Capacity|Electricity|Solar|CSP,GW,0.6,0.6,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.3,0.3,0.3,0.3,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,35.97094670919261,105.87094670919261,175.87094670919265,230.00000000000006,260.80000000000007,291.70000000000016,322.50000000000017,353.4000000000001,384.20000000000005,422.3000000000002,460.40000000000003,498.4000000000002,536.5000000000001,574.6,631.5,688.4000000000002,745.2000000000002,802.1000000000001,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002,859.0000000000002
GLUCOSE,Baseline,World,Capacity|Electricity|Solar|PV,GW,40.00000000000001,70.00000000000001,100.00000000000001,98.4,96.80000000000001,95.20000000000002,93.60000000000001,92.00000000000001,90.4,88.8,87.2,85.60000000000002,84.0,82.4,80.80000000000003,79.2,77.60000000000001,76.0,74.4,72.80000000000001,71.2,141.4999999999999,219.8999999999999,298.29999999999995,376.7,400.70363270961445,480.70363270961434,560.7036327096143,615.9036327096144,663.4036327096145,743.4036327096145,816.9036327096146,896.9036327096146,976.9036327096146,1206.9036327096144,1402.2261682083079,1575.8172629489065,1726.804290447569,1808.93446404512,1888.9344640451202,1968.9344640451202,1968.9344640451202,1976.5758044649606,2049.3259399979083,2113.1534232289337,2155.250823078025,2163.3508230780244,2163.3508230780244,2163.3508230780244,2163.3508230780244,2304.5471903684106
GLUCOSE,Baseline,World,Capacity|Electricity|Wind,GW,159.20000000000002,152.8,146.4,140.10000000000002,133.70000000000002,127.30000000000001,121.00000000000001,114.60000000000001,108.30000000000001,181.8,255.50000000000003,329.20000000000005,402.70000000000005,476.40000000000003,550.0000000000001,623.7000000000002,697.3,794.4459213937283,928.1459213937283,1061.7459213937284,1195.345921393728,1329.0459213937283,1462.6459213937283,1596.345921393728,1729.8459213937288,1863.5459213937286,2003.5459213937286,2143.5459213937297,2283.545921393729,2423.5459213937293,2563.5459213937297,2703.5459213937293,2843.5459213937283,2983.545921393729,3043.545921393729,3103.545921393729,3163.545921393729,3223.5459213937283,3283.545921393729,3343.545921393729,3403.5459213937283,3403.5459213937283,3380.000000000001,3320.0000000000005,3275.941006484897,3247.1033977712364,3240.297648277776,3240.297648277776,3240.297648277776,3240.297648277776,3240.297648277776
GLUCOSE,Baseline,World,Capacity|Electricity|Wind|Offshore,GW,1.0000000000000002,1.0000000000000002,0.9,0.9,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.7000000000000001,0.7000000000000001,0.6,0.6,0.6,0.5000000000000001,0.5000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,23.84592139372829,83.84592139372829,143.7459213937283,203.7459213937283,263.74592139372834,323.6459213937283,383.6459213937283,443.54592139372835,503.5459213937284,563.5459213937285,623.5459213937285,683.5459213937286,743.5459213937286,803.5459213937287,863.5459213937288,923.5459213937285,983.5459213937286,1043.5459213937286,1103.5459213937286,1163.5459213937286,1223.5459213937283,1283.5459213937288,1343.5459213937288,1403.5459213937283,1403.5459213937283,1380.0000000000005,1320.0000000000007,1275.9410064848967,1247.103397771236,1240.2976482777756,1240.2976482777756,1240.2976482777756,1240.2976482777756,1240.2976482777756
GLUCOSE,Baseline,World,Capacity|Electricity|Wind|Onshore,GW,158.20000000000002,151.8,145.5,139.20000000000002,132.9,126.50000000000001,120.20000000000002,113.90000000000002,107.60000000000001,181.20000000000002,254.90000000000003,328.6,402.20000000000005,475.90000000000003,549.6000000000001,623.3000000000002,696.9000000000001,770.6,844.3000000000001,918.0,991.5999999999999,1065.3,1139.0,1212.7,1286.3000000000002,1360.0000000000002,1440.0000000000002,1520.0000000000005,1600.0000000000005,1680.0000000000007,1760.0000000000007,1840.0000000000005,1920.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002,2000.0000000000002
GLUCOSE,Baseline,World,Carbon Sequestration|Direct Air Capture,Mt CO2e/yr,-663.0368700000001,-663.03687,-663.0368700000001,-663.0368699999999,-663.03687,-663.03687,-663.03687,-663.0368700000001,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.0368699999999,-663.03687,-663.0368700000001,-663.0368700000001,-663.03687,-663.0368700000001,-663.0368699999999,-663.03687,-663.03687,-663.0368700000001,-663.0368699999999,-663.03687,-663.0368700000002,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.03687,-663.0368700000001,-663.03687,-663.03687,-663.0368700000001,-663.03687,-663.0368699999999,-663.03687
GLUCOSE,Baseline,World,Emissions|CO2|AFOLU,Mt CO2e/yr,4901.192511670757,4924.395244357726,4947.7169654174495,4970.322139989567,4991.392726688512,5039.571921872204,5099.604000923971,5159.795303552807,5220.092755233021,5280.549430490306,5341.112254798976,5377.55083336383,5413.722267245023,5449.719348259755,5485.421902246225,5520.921351945077,5555.392519797208,5589.628884836437,5623.507250490804,5657.115865781432,5690.329786699267,5711.755106270928,5732.041709492345,5752.574970471718,5771.977986662053,5790.877261733862,5809.2476086065235,5827.062580857005,5843.590843948294,5860.263446882543,5875.589568465503,5882.661941704444,5889.0255006369825,5894.697879175179,5899.588789640591,5903.659158891057,5906.86795966246,5909.225188637604,5909.875897938557,5910.285874595864,5909.6486095198525,5886.556931028828,5862.310668613252,5836.852092873523,5810.120588550184,5782.052508967097,5772.682217417393,5772.682217417393,5772.682217417394,5772.682217417394,5772.682217417394
GLUCOSE,Baseline,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2e/yr,30866.670236275455,31102.30533642705,31337.939858823935,31573.492825904796,31709.290754873935,31846.187097557173,31855.91292291921,31776.384326119103,31696.75634390831,31617.062465904157,31710.626709329663,31991.687678343573,32004.34928402944,32285.911168130027,32657.966187934504,33334.23064438741,33857.84107901137,34191.11015107906,34536.961082707516,35510.77398522436,36214.267147945684,36703.78519372907,36957.328923273424,37263.05269065743,37562.89821333793,37850.44423826614,38138.519191393476,38427.149519142986,38717.06655605169,39006.83925311743,39297.95843153449,39523.76807829554,39750.28653936304,39974.36702379277,40205.48729035943,40434.29894110894,40663.97216033753,40894.4969513624,41126.72826206146,41359.200305404134,41592.71959048014,41711.26647251803,41802.94433330878,41818.6185540103,41802.986305579456,41780.198237941884,41773.93904672458,41773.939046724576,41773.960989843035,41773.96098984303,38695.67184836149
GLUCOSE,Baseline,World,Emissions|CO2|Energy|Supply,Mt CO2e/yr,29762.546342519145,29988.403793763235,30214.260960409967,30440.037686732092,30567.157241895828,30694.28162654405,30694.2356819657,30604.93631955033,30515.53767040996,30426.07413443177,30509.868781629015,30782.27875286901,30785.1745248453,31056.971462161197,31419.2615335498,32085.761902940994,32599.608248132256,32924.2472325286,33260.337845811744,34224.390796557214,34918.123865674126,35397.882139915026,35641.66690336713,35937.63198759396,36228.869737814435,36506.66009543117,36784.979131337044,37063.85427635798,37344.01588082677,37624.03386660658,37905.398066562324,38122.62070965298,38339.38686933147,38553.71568202564,38775.08400284879,38994.1443270335,39214.06594949856,39436.020104166324,39658.50219082162,39881.2256373311,40104.995947133495,40223.54282917136,40315.22068996213,40330.89491066364,40315.262662232795,40292.47459459522,40286.21540337793,40286.21540337792,40286.23734649637,40286.23734649637,37207.94820501484
