Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,Total,World,"Capacity|Electricity|Coal, w/o CCS",TW,1.5808000000000002,1.5437,1.5043,1.4647,1.4252,1.3857000000000002,1.3461999999999998,1.3067,1.2671000000000001,1.2277,1.1881000000000002,1.1485999999999998,1.109,1.0695999999999999,1.03,0.9905,0.9509,0.9115,0.8719,0.8324,0.7928,0.7534,0.7139000000000001,0.7357604175566214,0.7115181040390651,0.672018104039065,0.6475309661471452,0.6551888072870294,0.6770881314916447,0.6981477271004293,0.7128301761709055,0.750872384001805,0.7359015565262151,0.7086424330781996,0.6691424330781996,0.6295424330781997,0.5901424330781996,0.5505424330781996,0.5110424330781995,0.4714424330781996,0.4320424330781996,0.4320424330781996,0.4320424330781996,0.4320424330781996,0.4320424330781996,0.4320424330781996,0.4320424330781996,0.4320424330781996,0.4320424330781996,0.4320424330781996,0.4320424330781996
GLUCOSE,Total,World,Capacity|Electricity|Solar|CSP,TW,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,,,,0.040399999999999936,0.11039999999999994,0.18039999999999995,0.2504,0.3204,0.3904,0.4604,0.4984,0.5365,0.5746,0.6315,0.6884000000000001,0.7452000000000001,0.8021,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001
GLUCOSE,Total,World,Capacity|Electricity|Solar|PV,TW,0.04,0.07,0.1,0.0984,0.0968,0.0952,0.0936,0.092,0.09040000000000001,0.08879999999999999,0.0872,0.08560000000000001,0.08399999999999999,0.0824,0.08080000000000001,0.07919999999999999,0.0776,0.076,0.0744,0.0728,0.0712,0.0696,0.068,0.0664,0.11129874007459337,0.1264987400745934,0.2064987400745934,0.2864987400745934,0.36649874007459343,0.4464987400745935,0.5264987400745934,0.7564987400745934,0.9864987400745933,1.2164987400745932,1.4464987400745932,1.6764987400745932,1.9064987400745932,2.136498740074593,2.3664987400745936,2.5964987400745936,2.8264987400745936,3.056498740074593,3.2864987400745935,3.516498740074593,3.746498740074594,3.8374011347970716,3.9174011347970716,3.997401134797071,4.077401134797071,4.110902394722478,4.1225872369225165
GLUCOSE,Total,World,Capacity|Electricity|Wind,TW,0.1592,0.1528,0.1464,0.1401,0.13369999999999999,0.1273,0.121,0.11460000000000001,0.10830000000000001,0.1018,0.0955,0.0892,0.0827,0.0764,0.06999999999999999,0.06369999999999999,0.1373,0.2109,0.2846,0.35819999999999996,0.43179999999999996,0.5055000000000001,0.5791000000000001,0.6528,0.7684740818390559,0.9021740818390558,1.0421740818390557,1.1821740818390558,1.3221740818390557,1.462174081839056,1.6021740818390557,1.7421740818390559,1.882174081839056,2.022174081839056,2.1621740818390562,2.3021740818390564,2.4421740818390565,2.5821740818390566,2.7221740818390563,2.862174081839056,3.002174081839056,3.062174081839056,3.1221740818390558,3.182174081839056,3.242174081839056,3.302174081839056,3.362174081839056,3.420387474346767,3.420387474346767,3.3958564206916404,3.3958564206916404
GLUCOSE,Total,World,Capacity|Electricity|Wind|Offshore,TW,0.001,0.001,0.0009,0.0009,0.0008,0.0008,0.0008,0.0007,0.0007,0.0006,0.0006,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0003,0.0003,0.0002,0.0002,0.0002,0.0001,0.0001,0.042174081839055855,0.10217408183905584,0.16217408183905585,0.22217408183905585,0.28217408183905585,0.34217408183905584,0.40217408183905584,0.4621740818390558,0.5221740818390559,0.5821740818390561,0.642174081839056,0.702174081839056,0.7621740818390561,0.8221740818390562,0.8821740818390562,0.9421740818390558,1.002174081839056,1.062174081839056,1.1221740818390558,1.1821740818390558,1.2421740818390559,1.302174081839056,1.3621740818390562,1.4203874743467673,1.4203874743467673,1.3958564206916404,1.3958564206916404
GLUCOSE,Total,World,Capacity|Electricity|Wind|Onshore,TW,0.1582,0.1518,0.1455,0.1392,0.1329,0.1265,0.1202,0.1139,0.1076,0.1012,0.0949,0.0886,0.0822,0.0759,0.0696,0.0633,0.1369,0.2106,0.2843,0.358,0.4316,0.5053000000000001,0.5790000000000001,0.6527000000000001,0.7263,0.7999999999999999,0.8799999999999999,0.96,1.0399999999999998,1.12,1.2,1.28,1.36,1.4400000000000002,1.5200000000000002,1.6000000000000003,1.6800000000000004,1.7600000000000005,1.8400000000000003,1.92,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GLUCOSE,Total,World,Carbon Sequestration|CCS,Gt CO2e/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09521131802378903,-0.4442585972464496,-0.6499626467254862,-0.8269563938911155,-1.155733689714804,-1.5223110925176822,-1.8413165691595517
GLUCOSE,Total,World,Carbon Sequestration|CCS|Biomass,Gt CO2e/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09521131802378903,-0.4442585972464496,-0.6499626467254862,-0.8269563938911155,-1.155733689714804,-1.5223110925176822,-1.8413165691595517
GLUCOSE,Total,World,Carbon Sequestration|Direct Air Capture,Gt CO2e/yr,-0.66303687,-0.66303687,-0.6630368700000001,-0.66303687,-0.6839309984682342,-0.7505851107190002,-0.7269554777142514,-0.6630368700000001,-0.6630368700000001,-0.66303687,-0.66303687,-0.6630368700000001,-0.66303687,-0.6630368700000001,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.6630368699999999,-0.6630368699999998,-0.6630368700000001,-0.6630368699999999,-0.66303687,-0.66303687,-0.6630368700000001,-0.66303687,-0.6630368700000001,-0.6630368700000001,-0.66303687,-0.66303687,-0.6630368700000001,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.6630368700000001,-0.6630368700000001
GLUCOSE,Total,World,Emissions|CO2|AFOLU,Gt CO2e/yr,4.899566956418312,4.922742519629066,4.946512328050353,4.9689578774034295,4.964899245126065,4.929642902442826,5.021627077080793,5.1558210450388415,5.219234073363954,5.276142545912447,5.340085698012892,5.229640607639072,5.122085957561639,5.0249167733567575,4.923486217029083,4.825399205892111,4.735826460474945,4.642822565635947,4.552180923851673,4.463296391275315,4.3828877461655855,4.297961114074006,4.215315426884116,4.13959979676649,4.060172113523058,3.981800835678882,3.9052315754812037,3.8348545504851805,3.760648496900913,3.6871078766121044,3.6200653955957405,3.5483174892636526,3.477751119871773,3.407493339813984,3.3560284389342296,3.3083220607308377,3.262061001611331,3.2212167431703396,3.177098028452007,3.1337497947927453,3.0916789068491486,3.0916789068491495,3.0916789068491486,3.0916789068491486,3.0916789068491486,3.0916789068491486,3.0916789068491486,3.091678906849149,3.0916789068491486,3.091678906849149,3.0916789068491486
