Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,1.75DS,World,"Capacity|Electricity|Coal, w/o CCS",TW,1.5808000000000002,1.5437,1.5043,1.4647,1.4252,1.3857000000000002,1.3461999999999998,1.3067,1.2671000000000001,1.2277,1.1881000000000002,1.1485999999999998,1.109,1.0695999999999999,1.03,0.9905,0.9509,0.9115,0.8719,0.8324,0.7928,0.7534,0.7139000000000001,0.6743,0.6348,0.5952999999999999,0.5558000000000001,0.5162,0.4768,0.4372,0.3977,0.3581,0.3187,0.27909999999999996,0.2396,0.2,0.1606,0.121,0.0815,0.04190000000000001,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
GLUCOSE,1.75DS,World,Capacity|Electricity|Solar|CSP,TW,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.006586351691080113,0.07648635169108013,0.14648635169108012,0.21648635169108013,0.2608,0.2917,0.3225,0.3534,0.3842,0.4223,0.4604,0.4984,0.5365,0.5746,0.6315,0.6884,0.7452,0.8020999999999999,0.8589999999999999,0.8589999999999999,0.8589999999999999,0.8589999999999999,0.8589999999999999,0.8589999999999999,0.8589999999999999,0.8589999999999999,0.8589999999999999,0.8589999999999999,0.8589999999999999
GLUCOSE,1.75DS,World,Capacity|Electricity|Solar|PV,TW,0.04,0.07,0.1,0.0984,0.0968,0.0952,0.0936,0.092,0.09040000000000001,0.08879999999999999,0.0872,0.08560000000000001,0.08399999999999999,0.0824,0.08080000000000001,0.07919999999999999,0.0776,0.076,0.0744,0.0728,0.0712,0.0696,0.14800000000000002,0.2264,0.3048,0.32,0.4,0.48,0.56,0.64,0.72,0.7999999999999999,0.8799999999999999,0.96,1.0399999999999998,1.27,1.5,1.73,1.96,2.1900000000000004,2.4200000000000004,2.5000000000000004,2.5800000000000005,2.6600000000000006,2.74,2.82,2.9,2.82,2.8013243159476806,2.951324315947681,3.0486561404791517
GLUCOSE,1.75DS,World,Capacity|Electricity|Wind,TW,0.1592,0.1528,0.1464,0.1401,0.13369999999999999,0.1273,0.121,0.11460000000000001,0.10830000000000001,0.1018,0.0955,0.0892,0.0827,0.0764,0.15000000000000002,0.2237,0.2973,0.3709,0.4446,0.5182,0.5918,0.7255,0.8591000000000001,0.9927999999999999,1.1262999999999999,1.26,1.4,1.54,1.68,1.82,1.9600000000000002,2.1000000000000005,2.24,2.380000000000001,2.5200000000000005,2.660000000000001,2.8000000000000003,2.94,3.08,3.1399999999999997,3.2,3.2600000000000002,3.3200000000000003,3.3800000000000003,3.44,3.5,3.5,3.5,3.5,3.5,3.5
GLUCOSE,1.75DS,World,Capacity|Electricity|Wind|Offshore,TW,0.001,0.001,0.0009,0.0009,0.0008,0.0008,0.0008,0.0007,0.0007,0.0006,0.0006,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0003,0.0003,0.0002,0.0002,0.0602,0.1201,0.18009999999999998,0.24,0.3,0.36,0.42,0.48,0.54,0.6000000000000001,0.6600000000000001,0.7200000000000002,0.7800000000000002,0.8400000000000003,0.9000000000000004,0.96,1.02,1.08,1.14,1.2000000000000002,1.2600000000000002,1.3200000000000005,1.3800000000000003,1.44,1.5,1.5,1.5,1.5,1.5,1.5
GLUCOSE,1.75DS,World,Capacity|Electricity|Wind|Onshore,TW,0.1582,0.1518,0.1455,0.1392,0.1329,0.1265,0.1202,0.1139,0.1076,0.1012,0.0949,0.0886,0.0822,0.0759,0.1496,0.2233,0.2969,0.3706,0.4443,0.518,0.5916,0.6653,0.7390000000000001,0.8127,0.8862999999999999,0.96,1.0399999999999998,1.12,1.2,1.28,1.36,1.4400000000000002,1.5200000000000002,1.6000000000000003,1.6800000000000004,1.7600000000000005,1.8400000000000003,1.92,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GLUCOSE,1.75DS,World,Carbon Sequestration|CCS,Gt CO2e/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0658846180371134,-0.16292292437232006,-0.4310092976561576,-0.4733091422219408,-0.5154494420074881,-0.5574108466888674,-0.5643157590776423,-0.5643157590776423,-0.7052781973667237,-0.8000307724709836,-1.2336831059860431,-1.6093984319880703,-2.05194405,-2.05194405,-2.0519440500000004,-2.0519440500000004
GLUCOSE,1.75DS,World,Carbon Sequestration|CCS|Biomass,Gt CO2e/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0658846180371134,-0.16292292437232006,-0.4310092976561576,-0.4733091422219408,-0.5154494420074881,-0.5574108466888674,-0.5643157590776423,-0.5643157590776423,-0.7052781973667237,-0.8000307724709836,-1.2336831059860431,-1.6093984319880703,-2.05194405,-2.05194405,-2.0519440500000004,-2.0519440500000004
GLUCOSE,1.75DS,World,Carbon Sequestration|Direct Air Capture,Gt CO2e/yr,-0.66303687,-0.66303687,-0.6630368700000001,-0.6630368700000001,-0.6839309984682316,-0.7505851107189985,-0.7269554777142496,-0.6630368700000001,-0.6630368700000001,-0.66303687,-0.66303687,-0.6630368700000001,-0.66303687,-0.66303687,-0.6630368700000002,-0.6630368699999999,-0.6630368700000001,-0.6630368700000001,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.6630368700000002,-0.6630368700000001,-0.6630368699999999,-0.66303687,-0.6630368700000001,-0.66303687,-0.6630368699999999,-0.6630368700000001,-0.6630368699999999,-0.66303687,-0.6630368700000001,-0.6630368700000001,-0.6630368700000001,-0.6630368700000001,-0.6630368700000001,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.6630368699999999,-0.6630368699999998,-0.66303687,-0.6630368699999999,-0.6630368699999997,-0.6630368700000001,-0.6630368700000001
GLUCOSE,1.75DS,World,Emissions|CO2|AFOLU,Gt CO2e/yr,4.899566956418312,4.922742519629066,4.946512328050353,4.9689578774034295,4.964899245126068,4.929642902442827,5.021627077080795,5.1558210450388415,5.219234073363953,5.276142545912447,5.340085698012892,5.229640607639072,5.12208595756164,5.024916773356759,4.923486217029082,4.825399205892112,4.735826460474942,4.642822565635947,4.552180923851673,4.463296391275317,4.3828877461655855,4.297961114074007,4.215315426884116,4.139599796766502,4.060172113523058,3.9818008356788814,3.905231575481201,3.8348545504851805,3.7606484969009126,3.6871078766121044,3.6200653955957396,3.548317489263652,3.477751119871773,3.4074933398139846,3.3560284389342296,3.3083220607308377,3.2620610016113307,3.221216743170339,3.1770980284520065,3.1337497947927453,3.0916789068491486,3.0916789068491495,3.0916789068491486,3.0916789068491495,3.0916789068491495,3.0916789068491486,3.0916789068491486,3.091678906849149,3.0916789068491495,3.0916789068491486,3.0916789068491495
GLUCOSE,1.75DS,World,Emissions|CO2|Energy and Industrial Processes,Gt CO2e/yr,30.866670236275453,31.102305336427037,31.337939858823926,31.573492825904793,31.709290754873937,31.846187097557166,31.855912922919206,31.77634853908054,31.69670816933604,31.61706246590415,31.537243076712134,30.95572735809492,30.375117838472207,29.643831772315117,29.100115408889657,28.99884568457957,28.925713429240645,28.876886898117995,28.588024852578343,28.143752392079634,27.56989478603458,27.408783063265844,26.905634573115876,26.344140203233497,25.786357886476935,25.227449164321115,24.666808424518795,24.099975449514815,23.53697150309907,22.97330212338789,22.40313460440426,21.726911125806435,21.054728880128224,20.37969666018602,19.685801561065773,18.988217939269166,18.28911899838867,17.584673256829664,16.883431971547992,16.18142020520725,15.478201093150847,14.93731109315085,14.396421093150852,13.855601093150849,13.314711093150846,12.77382109315085,12.233001093150854,11.692111093150853,11.151221093150852,10.610401093150852,10.06951109315085
