REGION,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ALUPLANT,ALU,2010,85.3
Globe,ALUPLANT,ALU,2011,88.68529999999998
Globe,ALUPLANT,ALU,2012,92.07049999999998
Globe,ALUPLANT,ALU,2013,95.45579999999998
Globe,ALUPLANT,ALU,2014,98.84099999999998
Globe,ALUPLANT,ALU,2015,102.22619999999999
Globe,ALUPLANT,ALU,2016,105.6115
Globe,ALUPLANT,ALU,2017,108.99680000000001
Globe,ALUPLANT,ALU,2018,112.38199999999999
Globe,ALUPLANT,ALU,2019,115.7673
Globe,ALUPLANT,ALU,2020,119.15250000000002
Globe,ALUPLANT,ALU,2021,122.5378
Globe,ALUPLANT,ALU,2022,125.92299999999997
Globe,ALUPLANT,ALU,2023,129.3082
Globe,ALUPLANT,ALU,2024,132.6935
Globe,ALUPLANT,ALU,2025,136.0788
Globe,ALUPLANT,ALU,2026,139.464
Globe,ALUPLANT,ALU,2027,142.8493
Globe,ALUPLANT,ALU,2028,146.2345
Globe,ALUPLANT,ALU,2029,149.6198
Globe,ALUPLANT,ALU,2030,153.00499999999997
Globe,ALUPLANT,ALU,2031,156.39029999999997
Globe,ALUPLANT,ALU,2032,159.7755
Globe,ALUPLANT,ALU,2033,163.1608
Globe,ALUPLANT,ALU,2034,166.54600000000002
Globe,ALUPLANT,ALU,2035,169.9313
Globe,ALUPLANT,ALU,2036,173.3165
Globe,ALUPLANT,ALU,2037,176.70179999999996
Globe,ALUPLANT,ALU,2038,180.087
Globe,ALUPLANT,ALU,2039,183.47229999999996
Globe,ALUPLANT,ALU,2040,186.85749999999996
Globe,ALUPLANT,ALU,2041,190.2428
Globe,ALUPLANT,ALU,2042,193.628
Globe,ALUPLANT,ALU,2043,197.01330000000002
Globe,ALUPLANT,ALU,2044,200.39849999999998
Globe,ALUPLANT,ALU,2045,203.7838
Globe,ALUPLANT,ALU,2046,207.16899999999998
Globe,ALUPLANT,ALU,2047,210.5543
Globe,ALUPLANT,ALU,2048,213.93949999999992
Globe,ALUPLANT,ALU,2049,217.3248
Globe,ALUPLANT,ALU,2050,220.71
Globe,ALUPLANT,ALU,2051,220.71
